tt,#genre
KIDS : NICK JR,http://randomserver.site:2086/wickeduk/etqyhww45e/14950
KIDS : NICK TOONS,http://randomserver.site:2086/wickeduk/etqyhww45e/265
KIDS : NICKELODEON,http://randomserver.site:2086/wickeduk/etqyhww45e/4081

常用 ,#genre#
凤凰中文,http://220.158.149.14:9999/live/TV00000000000000000067@HHZT;LIVE
凤凰中文,http://220.158.149.26:8182/hls/TV00000000000000000067@HHZT.m3u8
凤凰资讯,http://220.158.149.14:9999/live/TV00000000000000000066@HHZT;LIVE
凤凰资讯,http://220.158.149.26:8182/hls/TV00000000000000000066@HHZT.m3u8
凤凰香港,http://220.158.149.14:9999/live/TV00000000000000000068@HHZT;LIVE
凤凰香港,http://220.158.149.26:8182/hls/TV00000000000000000068@HHZT.m3u8
TNT HD,http://f.ok2.se:8000/victor1/victor123/341
*ESPN HD,http://f.ok2.se:8000/victor1/victor123/143
*CNN HD,http://f.ok2.se:8000/victor1/victor123/360
BBC WORLD NEWS,http://f.ok2.se:8000/victor1/victor123/9546
*FOX NEWS HD,http://f.ok2.se:8000/victor1/victor123/363
Sky News Extra 1,https://skynewsau-live.akamaized.net/hls/live/2002689/skynewsau-extra1/master.m3u8
Sky News Extra 2,https://skynewsau-live.akamaized.net/hls/live/2002690/skynewsau-extra2/master.m3u8
Sky News Extra 3,https://skynewsau-live.akamaized.net/hls/live/2002691/skynewsau-extra3/master.m3u8
CNBC HD,http://f.ok2.se:8000/victor1/victor123/364
SKY COMEDY CENTRAL,http://f.ok2.se:8000/victor1/victor123/1748

News ,#genre#
*CNN HD,http://f.ok2.se:8000/victor1/victor123/360
BBC WORLD NEWS,http://f.ok2.se:8000/victor1/victor123/9546
*FOX NEWS HD,http://f.ok2.se:8000/victor1/victor123/363
SKY NEWS,http://f.ok2.se:8000/victor1/victor123/7173
Sky News Extra 1,https://skynewsau-live.akamaized.net/hls/live/2002689/skynewsau-extra1/master.m3u8
Sky News Extra 2,https://skynewsau-live.akamaized.net/hls/live/2002690/skynewsau-extra2/master.m3u8
Sky News Extra 3,https://skynewsau-live.akamaized.net/hls/live/2002691/skynewsau-extra3/master.m3u8
CNBC HD,http://f.ok2.se:8000/victor1/victor123/364
BBC News,http://51.52.156.22:8888/http/004
CCTV NEWS,http://f.ok2.se:8000/victor1/victor123/3965
RT NEWS ENGLISH,http://f.ok2.se:8000/victor1/victor123/512
DW NEWS,http://f.ok2.se:8000/victor1/victor123/67410
EURONEWS,http://f.ok2.se:8000/victor1/victor123/67409
CBS NEWS HD,http://f.ok2.se:8000/victor1/victor123/3078
ABC NEWS HD,http://f.ok2.se:8000/victor1/victor123/3077
CBC NEWS HD,http://f.ok2.se:8000/victor1/victor123/361
CTV NEWS NETWORK HD,http://f.ok2.se:8000/victor1/victor123/2423
BBC CANADA - NEW,http://f.ok2.se:8000/victor1/victor123/46724
BBC AMERICA HD,http://f.ok2.se:8000/victor1/victor123/357
MSNBC HD,http://f.ok2.se:8000/victor1/victor123/365
HLN HD,http://f.ok2.se:8000/victor1/victor123/362
TRT WORLD HD (TR),http://f.ok2.se:8000/victor1/victor123/27136
ALJAZEERA ENGLISH,http://f.ok2.se:8000/victor1/victor123/1661
FRANCE 24,http://f.ok2.se:8000/victor1/victor123/4796
RT DOCUMENTARY,http://f.ok2.se:8000/victor1/victor123/3075

BUSINESS ,#genre#
FOX NEWS BUSINESS,http://f.ok2.se:8000/victor1/victor123/4600

Movies ,#genre#
HBO 1 HD,http://f.ok2.se:8000/victor1/victor123/26321
HBO 2 HD,http://f.ok2.se:8000/victor1/victor123/26322
HBO EAST HD - NEW,http://f.ok2.se:8000/victor1/victor123/371
HBO COMEDY HD - NEW,http://f.ok2.se:8000/victor1/victor123/373
HBO FAMILY HD - NEW,http://f.ok2.se:8000/victor1/victor123/4829
HBO SIGNATURE HD - NEW,http://f.ok2.se:8000/victor1/victor123/372
HBO ZONE HD - NEW,http://f.ok2.se:8000/victor1/victor123/4828
ACTION MAX HD - NEW,http://f.ok2.se:8000/victor1/victor123/383
MOREMAX HD - NEW,http://f.ok2.se:8000/victor1/victor123/381
THRILLER MAX HD,http://f.ok2.se:8000/victor1/victor123/80332
5STAR MAX HD - NEW,http://f.ok2.se:8000/victor1/victor123/382
AMC HD,http://f.ok2.se:8000/victor1/victor123/334
SHOWCASE HD,http://f.ok2.se:8000/victor1/victor123/346
SHOWTIME EAST HD,http://f.ok2.se:8000/victor1/victor123/11361
SHOWTIME 2 HD,http://f.ok2.se:8000/victor1/victor123/11362
SHOWTIME BEYOND HD,http://f.ok2.se:8000/victor1/victor123/11363
SHOWTIME WOMEN HD (NEW),http://f.ok2.se:8000/victor1/victor123/11359
SHOWTIME EXTREME HD,http://f.ok2.se:8000/victor1/victor123/11358
SHOWTIME NEXT HD (NEW),http://f.ok2.se:8000/victor1/victor123/11360
SUPER CHANNEL FUSE - NEW,http://f.ok2.se:8000/victor1/victor123/71289
VAULT (CDN) - NEW,http://f.ok2.se:8000/victor1/victor123/67114
MOVIE TIME HD,http://f.ok2.se:8000/victor1/victor123/369
PPV MOVIES,http://f.ok2.se:8000/victor1/victor123/8784
SCIENCE FICTION NEW,http://f.ok2.se:8000/victor1/victor123/8887
STARZ HD,http://f.ok2.se:8000/victor1/victor123/374
STARZ EDGE HD,http://f.ok2.se:8000/victor1/victor123/377
STARZ COMEDY HD,http://f.ok2.se:8000/victor1/victor123/376
STARZ BLACK HD,http://f.ok2.se:8000/victor1/victor123/378
ENCORE WESTERN HD,http://f.ok2.se:8000/victor1/victor123/379
EPIX EAST HD - NEW,http://f.ok2.se:8000/victor1/victor123/69016
EPIX 2 HD - NEW,http://f.ok2.se:8000/victor1/victor123/69014
EPIX DRIVE IN'S HD - NEW,http://f.ok2.se:8000/victor1/victor123/69012
EPIX HITS HD - NEW,http://f.ok2.se:8000/victor1/victor123/69013
TRUE MOVIES,http://f.ok2.se:8000/victor1/victor123/1786
SKY MOVIES COMEDY,http://f.ok2.se:8000/victor1/victor123/1737
SKY MOVIES THRILLER,http://f.ok2.se:8000/victor1/victor123/1742
CBS ACTION,http://f.ok2.se:8000/victor1/victor123/7184
CBS DRAMA,http://f.ok2.se:8000/victor1/victor123/7186
SKY 5 STAR,http://f.ok2.se:8000/victor1/victor123/7181
SKY CRIME AND INVESTIGATION,http://f.ok2.se:8000/victor1/victor123/7190
SKY E4,http://f.ok2.se:8000/victor1/victor123/7178
SKY MORE4,http://f.ok2.se:8000/victor1/victor123/7177
SKY FILM4,http://f.ok2.se:8000/victor1/victor123/7189
SKY HORROR,http://f.ok2.se:8000/victor1/victor123/7179
SKY SYFY,http://f.ok2.se:8000/victor1/victor123/7174
SKY CHANNEL 4,http://f.ok2.se:8000/victor1/victor123/7175
SKY CHANNEL 5,http://f.ok2.se:8000/victor1/victor123/7176
SKY SONY MOVIES,http://f.ok2.se:8000/victor1/victor123/1771
TVO HD (NA),http://f.ok2.se:8000/victor1/victor123/391
PBS KIDS - NEW,http://f.ok2.se:8000/victor1/victor123/15071
YTV HD (NA),http://f.ok2.se:8000/victor1/victor123/390
DISNEY HD EAST,http://f.ok2.se:8000/victor1/victor123/392
ABC SPARK HD,http://f.ok2.se:8000/victor1/victor123/4063
TREEHOUSE HD,http://f.ok2.se:8000/victor1/victor123/393
*LIFETIME MOVIES HD,http://f.ok2.se:8000/victor1/victor123/326
SUNDANCE HD - NEW,http://f.ok2.se:8000/victor1/victor123/10039
BOOK - NEW,http://f.ok2.se:8000/victor1/victor123/67100
SYFY HD,http://f.ok2.se:8000/victor1/victor123/339
CTV-SCIFI HD (SPACE),http://f.ok2.se:8000/victor1/victor123/8110
WE TV HD,http://f.ok2.se:8000/victor1/victor123/342
*A&E HD,http://f.ok2.se:8000/victor1/victor123/347
BET HD,http://f.ok2.se:8000/victor1/victor123/351
BET HER HD - NEW,http://f.ok2.se:8000/victor1/victor123/69008
CMT HD  - NEW,http://f.ok2.se:8000/victor1/victor123/12266
*VH1 HD,http://f.ok2.se:8000/victor1/victor123/354
VH1 (US) - NEW,http://f.ok2.se:8000/victor1/victor123/70262
VISION HD,http://f.ok2.se:8000/victor1/victor123/355
PBS HD,http://f.ok2.se:8000/victor1/victor123/356
CHCH HD,http://f.ok2.se:8000/victor1/victor123/358
CW11 HD,http://f.ok2.se:8000/victor1/victor123/359
CW11 HD WEST,http://f.ok2.se:8000/victor1/victor123/2421
TCM HD,http://f.ok2.se:8000/victor1/victor123/368
ADULT SWIM HD,http://f.ok2.se:8000/victor1/victor123/370
FXM HD,http://f.ok2.se:8000/victor1/victor123/56246
007 4 LIFE HD,http://f.ok2.se:8000/victor1/victor123/7493
80'S ACTION HITZ HD,http://f.ok2.se:8000/victor1/victor123/7497
80'S COMEDY HITZ HD,http://f.ok2.se:8000/victor1/victor123/7496
80'S DRAMA HITZ HD,http://f.ok2.se:8000/victor1/victor123/7495
80'S HORROR HITZ HD,http://f.ok2.se:8000/victor1/victor123/7494
CRAVE 1 HD,http://f.ok2.se:8000/victor1/victor123/9505
CRAVE 2 HD,http://f.ok2.se:8000/victor1/victor123/9506
CRAVE 3 HD,http://f.ok2.se:8000/victor1/victor123/9507

US-TV ,#genre#
COOKING CHANNEL HD,http://f.ok2.se:8000/victor1/victor123/6108
FOOD HD,http://f.ok2.se:8000/victor1/victor123/333
FOOD HD (USA),http://f.ok2.se:8000/victor1/victor123/80508
funny video,http://meti-tv.xyz:80/Unik-play-mere-falas-mos-vjedh/unikTV-mbaje-ke-nga-MetiTV/160
Mr.bean 24/7,http://meti-tv.xyz:80/Unik-play-mere-falas-mos-vjedh/unikTV-mbaje-ke-nga-MetiTV/209
gameplay 24/7,http://meti-tv.xyz:80/Unik-play-mere-falas-mos-vjedh/unikTV-mbaje-ke-nga-MetiTV/208
relax 24/7,http://meti-tv.xyz:80/Unik-play-mere-falas-mos-vjedh/unikTV-mbaje-ke-nga-MetiTV/205
Tom & Jerry,http://meti-tv.xyz:80/Unik-play-mere-falas-mos-vjedh/unikTV-mbaje-ke-nga-MetiTV/206
NBC HD EAST,http://f.ok2.se:8000/victor1/victor123/7
CBS HD EAST,http://f.ok2.se:8000/victor1/victor123/8
ABC HD EAST,http://f.ok2.se:8000/victor1/victor123/10
FOX HD EAST,http://f.ok2.se:8000/victor1/victor123/9
*CP24 HD,http://f.ok2.se:8000/victor1/victor123/11
CITY TV HD,http://f.ok2.se:8000/victor1/victor123/14
